Entry Point,Month,Value,Year,Category,Region,Conservation Area,Visitors,Metric,English_Year,Group,Count,Type,Hotel_Type,Hotel_Count,Bed_Count,Types of Course,Details,Third Country,Indian,% Change,Gender,Age_Group,Total,Nationality,Percent
Rasuwagadi (Rasuwa),Mar,479,,,,,,,,,,,,,,,,,,,,,,,
Rasuwagadi (Rasuwa),Apr,966,,,,,,,,,,,,,,,,,,,,,,,
Rasuwagadi (Rasuwa),May,2220,,,,,,,,,,,,,,,,,,,,,,,
Rasuwagadi (Rasuwa),Jun,1936,,,,,,,,,,,,,,,,,,,,,,,
Rasuwagadi (Rasuwa),Jul,2490,,,,,,,,,,,,,,,,,,,,,,,
Rasuwagadi (Rasuwa),Aug,2171,,,,,,,,,,,,,,,,,,,,,,,
Rasuwagadi (Rasuwa),Sep,2556,,,,,,,,,,,,,,,,,,,,,,,
Rasuwagadi (Rasuwa),Oct,118,,,,,,,,,,,,,,,,,,,,,,,
Rasuwagadi (Rasuwa),Nov,810,,,,,,,,,,,,,,,,,,,,,,,
Rasuwagadi (Rasuwa),Dec,408,,,,,,,,,,,,,,,,,,,,,,,
Belahiya (Bhairahawa),Jan,8702,,,,,,,,,,,,,,,,,,,,,,,
Belahiya (Bhairahawa),Feb,14118,,,,,,,,,,,,,,,,,,,,,,,
Belahiya (Bhairahawa),Mar,17186,,,,,,,,,,,,,,,,,,,,,,,
Belahiya (Bhairahawa),Apr,3590,,,,,,,,,,,,,,,,,,,,,,,
Belahiya (Bhairahawa),May,1057,,,,,,,,,,,,,,,,,,,,,,,
Belahiya (Bhairahawa),Jun,443,,,,,,,,,,,,,,,,,,,,,,,
Belahiya (Bhairahawa),Jul,1437,,,,,,,,,,,,,,,,,,,,,,,
Belahiya (Bhairahawa),Aug,5789,,,,,,,,,,,,,,,,,,,,,,,
Belahiya (Bhairahawa),Sep,6499,,,,,,,,,,,,,,,,,,,,,,,
Belahiya (Bhairahawa),Oct,7947,,,,,,,,,,,,,,,,,,,,,,,
Belahiya (Bhairahawa),Nov,15057,,,,,,,,,,,,,,,,,,,,,,,
Belahiya (Bhairahawa),Dec,10540,,,,,,,,,,,,,,,,,,,,,,,
,,170279,1993,Holiday Pleasure,,,,,,,,,,,,,,,,,,,,,
,,69619,1993,Trekking & Mountaineering,,,,,,,,,,,,,,,,,,,,,
,,19495,1993,Business,,,,,,,,,,,,,,,,,,,,,
,,10429,1993,Pilgrimage,,,,,,,,,,,,,,,,,,,,,
,,15812,1993,Official,,,,,,,,,,,,,,,,,,,,,
,,5367,1993,Conv./ Conf.,,,,,,,,,,,,,,,,,,,,,
,,2566,1993,Others,,,,,,,,,,,,,,,,,,,,,
,,0,1993,Not Specified,,,,,,,,,,,,,,,,,,,,,
,,168155,1994,Holiday Pleasure,,,,,,,,,,,,,,,,,,,,,
