Month,Year,Group,Count
March,2021,Nepali,1650
April,2021,Nepali,450
May,2021,Nepali,-
June,2021,Nepali,-
July,2021,Nepali,-
August,2021,Nepali,-
September,2021,Nepali,-
October,2021,Nepali,1800
November,2021,Nepali,2100
December,2021,Nepali,3200
January,2021,Foreigner,-
February,2021,Foreigner,-
March,2021,Foreigner,-
April,2021,Foreigner,-
May,2021,Foreigner,-
June,2021,Foreigner,-
July,2021,Foreigner,-
August,2021,Foreigner,-
September,2021,Foreigner,-
October,2021,Foreigner,-
November,2021,Foreigner,-
December,2021,Foreigner,1200
January,2022,Nepali,679
February,2022,Nepali,803
March,2022,Nepali,718
April,2022,Nepali,605
May,2022,Nepali,203
June,2022,Nepali,411
July,2022,Nepali,316
August,2022,Nepali,566
September,2022,Nepali,1030
October,2022,Nepali,1238
November,2022,Nepali,1836
December,2022,Nepali,936
January,2022,Foreigner,469
February,2022,Foreigner,968
March,2022,Foreigner,511
April,2022,Foreigner,338
May,2022,Foreigner,224
June,2022,Foreigner,149
July,2022,Foreigner,225
August,2022,Foreigner,638
September,2022,Foreigner,457
October,2022,Foreigner,996
November,2022,Foreigner,407
December,2022,Foreigner,362
January,2023,Nepali,711
February,2023,Nepali,605
March,2023,Nepali,618
April,2023,Nepali,405
May,2023,Nepali,316
June,2023,Nepali,398
July,2023,Nepali,296
August,2023,Nepali,608
September,2023,Nepali,828
October,2023,Nepali,1850
November,2023,Nepali,1320
December,2023,Nepali,1520
January,2023,Foreigner,635
February,2023,Foreigner,1020
March,2023,Foreigner,621
April,2023,Foreigner,231
May,2023,Foreigner,202
June,2023,Foreigner,198
July,2023,Foreigner,208
August,2023,Foreigner,531
September,2023,Foreigner,511
October,2023,Foreigner,978
November,2023,Foreigner,998
December,2023,Foreigner,860
January,2024,Nepali,886
February,2024,Nepali,1040
March,2024,Nepali,1002
April,2024,Nepali,826
May,2024,Nepali,808
June,2024,Nepali,607
July,2024,Nepali,515
August,2024,Nepali,1120
September,2024,Nepali,1509
October,2024,Nepali,1640
November,2024,Nepali,1340
December,2024,Nepali,936
January,2024,Foreigner,
February,2024,Foreigner,1120
March,2024,Foreigner,911
April,2024,Foreigner,826
May,2024,Foreigner,606
June,2024,Foreigner,538
July,2024,Foreigner,408
August,2024,Foreigner,707
September,2024,Foreigner,1180
October,2024,Foreigner,1320
November,2024,Foreigner,1560
December,2024,Foreigner,1221
