Year;Month;Value
1996;Dec;22661
1997;Dec;22909
1998;Dec;23814
1999;Dec;25431
2000;Dec;31509
2001;Dec;15018
2002;Dec;17943
2003;Dec;25980
2004;Dec;22187
2005;Dec;27822
2006;Dec;27009
2007;Dec;33458
2008;Dec;29980
2009;Dec;32618
2010;Dec;38363
2011;Dec;47745
2012;Dec;51850
2013;Dec;45822
2014;Dec;52354
2015;Dec;39207
2016;Dec;63154
2017;Dec;67077
2018;Dec;100093
2019;Dec;77432
2020;Dec;2845
2021;Dec;15238
2022;Dec;41499
2023;Dec;63882
2024;Dec;67492
1995;Total;246135
1996;Total;271101
1997;Total;288419
1998;Total;320455
1999;Total;350843
2000;Total;367731
2001;Total;296917
2002;Total;208691
2003;Total;251769
2004;Total;294971
2005;Total;278964
2006;Total;290204
2007;Total;430695
2008;Total;409100
2009;Total;416072
2010;Total;481969
2011;Total;586711
2012;Total;637277
2013;Total;616642
2014;Total;654775
2015;Total;463846
2016;Total;634753
2017;Total;779950
2018;Total;978749
2019;Total;943041
2020;Total;189749
2021;Total;86290
2022;Total;405535
2023;Total;694946
2024;Total;829767
